example_id,text,model_predicted_intent_REFERENCE_ONLY,human_intent,human_reference_reply,human_routing_decision,human_notes
ex_0000,I was provided with none !!!! 😡 but imagine waking up to another message saying we’ve attempted to deliver today and you weren’t available .. I’m still in my pjs .. 😩😩😩 dies someone want to explain to me what I’m paying for with this prime thingy ??? Furious,,,,,
ex_0001,"Good Work for managing to not help me find my package. Amazon: ""Well it has been signed for!"" Me: By who??? Amazon: ""Don't know!"" Brilliant! Have a good Christmas Delivery man...my treat! #Smallfry #charity #buyerbeware",,,,,
ex_0002,"c’est ça votre emballage cadeau à 2,99€ ? Vous avez régressé sérieux 3€ pour un truc que je vais devoir refaire parce qu’il est moche et transparent, c’est du papier carton pour chaussures vous déconnez !!!?!",,,,,
ex_0003,Any account specialist .ca willing to help??? #callingforhelp #amazoncanada #9yroldgift #davidsmithfromamazon???,,,,,
ex_0004,is this aachi masala costs ₹1776?? Wat is this to be used for?? Sperm whale curry??,,,,,
ex_0005,WHY IS THIS NOV 4 !!!!!!,,,,,
ex_0006,"Except that isn't the case. 1 Why not? 2 Why are you sending people to The Works? 3 Why is that book in Home &amp; KItchen? 4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to? 5 What is the point of having Prime?",,,,,
ex_0007,"Except that isn't the case. 1 Why not? 2 Why are you sending people to The Works? 3 Why is that book in Home &amp; KItchen? 4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to? 5 What is the point of having Prime?",,,,,
ex_0008,"yup we paid for shipping to get the package Tuesday and seen this last night at 10pm We're sorry your package is late We don't have a new delivery date from UPS, but we recommend waiting as it'll usually arrive within a few days. NO!!!!!",,,,,
ex_0009,Update ??? What your internal investigation repors tell you ??,,,,,
ex_0010,Seriously !! What the fuck is the point of prime !!!,,,,,
ex_0011,Muchas gracias por la rapidez y resolución de la atención al cliente y del repartidor de Todo perfecto y solucionando los imprevistos del reparto del pedido en tiempo record! Geniales! Da gusto este servicio! Enhorabuena por el trabajo! ;),,,,,
ex_0012,How does delivery one of my parcels tonight but insist they were unable to deliver the rest 😩 why ?? I didn’t leave the house !! Cannot believe the crap they come out with sometimes .. and yes you have delivery instructions 😡😡,,,,,
ex_0013,"Ouiiiiiiii, bien suuuuuuuûr... PARCE QUE VOUS ALLEZ AVOIR UN GESTE COMMERCIAL AVEC MOI, PEUT-ÊTRE???? Vous ne l'avez JAMAIS fait, alors...",,,,,
ex_0014,What is going on with delivery ? Item was due on Sunday and still hasn’t arrived! That’s 3 items late ! Why am I paying for Prime?,,,,,
ex_0015,"when you can't get my Prime order to me on time, what happens? I needed it on time! It's a gift! Your courier not up to the job?",,,,,
